,coord_mode,input_projection_mode,k,alpha,beta,C_in,C_out,coh_mean_k,align_k,cos_global,alpha2,beta2,alpha2beta2,epoch
227,decoded,direct_vocab,8,0.32929054,0.3609774,0.13259774,0.054962963,0.09378035,0.97637016,0.8634393,0.108432256,0.1303047,0.014129232,4000
228,decoded,direct_vocab,9,0.3427118,0.3622574,0.043398347,0.024238097,0.033818223,0.98368096,-0.9915995,0.117451385,0.13123041,0.015413194,4000
229,decoded,direct_vocab,10,0.32860374,0.35070768,0.057124518,0.007626749,0.032375634,0.9833563,-0.43786818,0.10798042,0.122995876,0.013281147,4000
230,decoded,direct_vocab,11,0.31019154,0.32694456,0.03851676,0.03002376,0.03427026,0.9842043,0.99994427,0.096218795,0.10689274,0.010285091,4000
231,decoded,direct_vocab,1,0.34785095,0.3716163,0.0229328,0.031710625,0.027321711,0.98696953,-0.5467985,0.12100028,0.13809867,0.016709978,4200
232,decoded,direct_vocab,2,0.34249923,0.35932574,0.0057235993,0.066473,0.0360983,0.98603487,0.5655964,0.11730572,0.12911499,0.015145926,4200
233,decoded,direct_vocab,3,0.3538981,0.37687555,0.089865565,0.006614667,0.048240118,0.9828348,-0.34061715,0.12524387,0.14203519,0.017789036,4200
234,decoded,direct_vocab,4,0.34533557,0.3622201,0.014650599,0.039120235,0.026885416,0.9874391,0.5512895,0.11925666,0.13120341,0.01564688,4200
235,decoded,direct_vocab,5,0.3194457,0.34337074,0.07107075,0.026580652,0.048825704,0.98197246,-0.76047105,0.10204556,0.11790346,0.012031524,4200
236,decoded,direct_vocab,6,0.34099102,0.35985804,0.053240694,0.03246928,0.042854987,0.9840586,0.97536236,0.11627488,0.12949781,0.015057342,4200
237,decoded,direct_vocab,7,0.34972402,0.36962768,0.0056472975,0.011070204,0.0083587505,0.9887411,0.5856596,0.12230689,0.13662462,0.016710132,4200
238,decoded,direct_vocab,8,0.33791363,0.37160853,0.13053983,0.054420568,0.0924802,0.9765984,0.8709736,0.114185624,0.13809289,0.015768223,4200
239,decoded,direct_vocab,9,0.35179025,0.37300262,0.043759417,0.024091631,0.033925526,0.98371,-0.9913753,0.12375638,0.13913095,0.017218342,4200
240,decoded,direct_vocab,10,0.33758706,0.36132917,0.057241865,0.007675875,0.03245887,0.983373,-0.42780232,0.11396502,0.13055877,0.014879134,4200
241,decoded,direct_vocab,11,0.31807786,0.33630136,0.038077272,0.029660909,0.03386909,0.98448604,0.9986772,0.10117353,0.1130986,0.011442584,4200
242,decoded,direct_vocab,1,0.35613656,0.38155708,0.023117002,0.030432418,0.02677471,0.9869902,-0.46897575,0.12683325,0.1455858,0.01846512,4400
243,decoded,direct_vocab,2,0.35036454,0.36902282,0.0058372407,0.06404229,0.034939766,0.986374,0.5827631,0.12275531,0.13617784,0.016716553,4400
244,decoded,direct_vocab,3,0.3627024,0.3875004,0.0887818,0.006710701,0.04774625,0.98297924,-0.22077717,0.13155302,0.15015656,0.01975355,4400
245,decoded,direct_vocab,4,0.35343933,0.37271336,0.014449013,0.03850638,0.026477698,0.9872366,0.6649971,0.12491936,0.13891524,0.017353203,4400
246,decoded,direct_vocab,5,0.32669356,0.35235685,0.06981503,0.026572043,0.048193537,0.9820211,-0.7483813,0.10672869,0.12415535,0.013250938,4400
247,decoded,direct_vocab,6,0.34925643,0.3701754,0.053041134,0.031592827,0.04231698,0.98407096,0.97161657,0.12198005,0.13702983,0.016714904,4400
248,decoded,direct_vocab,7,0.35786316,0.37969193,0.0042396924,0.01173941,0.007989552,0.9888748,-0.52911097,0.12806603,0.14416596,0.018462762,4400
249,decoded,direct_vocab,8,0.34612405,0.38182122,0.12912965,0.054038964,0.09158431,0.97696215,0.8755084,0.11980186,0.14578745,0.017465606,4400
250,decoded,direct_vocab,9,0.3604091,0.38332647,0.043788563,0.024039574,0.033914067,0.98363644,-0.9919471,0.12989473,0.14693919,0.019086627,4400
251,decoded,direct_vocab,10,0.3461967,0.3716646,0.05648563,0.007461988,0.03197381,0.98343384,-0.45309013,0.11985216,0.13813458,0.016555728,4400
252,decoded,direct_vocab,11,0.32568145,0.34542456,0.037542127,0.029458111,0.03350012,0.9847279,0.99526036,0.1060684,0.11931813,0.012655883,4400
253,decoded,direct_vocab,1,0.36414647,0.3911591,0.023600914,0.029563602,0.026582258,0.9870158,-0.3817711,0.13260265,0.15300544,0.020288926,4600
254,decoded,direct_vocab,2,0.3578443,0.37840447,0.0063569196,0.061771818,0.034064367,0.98662204,0.50308067,0.12805253,0.14318994,0.018335834,4600
255,decoded,direct_vocab,3,0.37108794,0.3977941,0.087625876,0.0066836737,0.047154777,0.98322517,-0.11741212,0.13770626,0.15824014,0.021790659,4600
256,decoded,direct_vocab,4,0.36113605,0.38278654,0.0143414885,0.03787904,0.026110264,0.98703754,0.7819691,0.13041924,0.14652553,0.019109748,4600
257,decoded,direct_vocab,5,0.33359227,0.36108837,0.06882018,0.026739994,0.047780085,0.9821125,-0.7153613,0.1112838,0.1303848,0.014509716,4600
258,decoded,direct_vocab,6,0.3570312,0.38016757,0.053467564,0.030761354,0.04211446,0.98419034,0.9661848,0.12747127,0.14452739,0.01842309,4600
259,decoded,direct_vocab,7,0.3657484,0.38942304,0.005117553,0.012326081,0.008721817,0.9889176,-0.9934912,0.1337719,0.15165031,0.020286549,4600
260,decoded,direct_vocab,8,0.35394663,0.39168626,0.12781814,0.05397571,0.09089692,0.9773788,0.8773075,0.12527822,0.15341812,0.01921995,4600
261,decoded,direct_vocab,9,0.36853755,0.3933236,0.043850448,0.023613274,0.033731863,0.9836121,-0.9924409,0.13581993,0.15470345,0.021011813,4600
262,decoded,direct_vocab,10,0.35460067,0.38166687,0.055494666,0.007154481,0.031324573,0.9836463,-0.5140186,0.12574163,0.1456696,0.018316733,4600
263,decoded,direct_vocab,11,0.33305275,0.35427147,0.03710301,0.029483374,0.03329319,0.9848384,0.9893766,0.11092414,0.12550828,0.013921898,4600
264,decoded,direct_vocab,1,0.37188646,0.4003978,0.023660513,0.028609494,0.026135003,0.9869915,-0.28187034,0.13829954,0.1603184,0.022171961,4800
265,decoded,direct_vocab,2,0.36504403,0.3874624,0.007018186,0.059806537,0.03341236,0.9868783,0.56340957,0.13325714,0.15012711,0.02000551,4800
266,decoded,direct_vocab,3,0.37914863,0.40773064,0.08655615,0.007034451,0.0467953,0.98359287,-0.019958526,0.14375369,0.16624427,0.023898227,4800
267,decoded,direct_vocab,4,0.36843026,0.39256352,0.014428532,0.037507087,0.02596781,0.9868934,0.8573234,0.13574086,0.15410613,0.020918498,4800
268,decoded,direct_vocab,5,0.34017646,0.36951408,0.06819433,0.02690519,0.04754976,0.9822328,-0.69135815,0.115720026,0.13654065,0.015800487,4800
269,decoded,direct_vocab,6,0.3645037,0.38981673,0.05370809,0.030074758,0.041891426,0.98423254,0.9590745,0.13286296,0.15195708,0.020189466,4800
270,decoded,direct_vocab,7,0.3733196,0.39888555,0.0066630715,0.012668418,0.009665744,0.98893225,-0.81167364,0.13936752,0.15910968,0.022174722,4800
271,decoded,direct_vocab,8,0.3614385,0.40123212,0.12639222,0.05380611,0.09009916,0.97781515,0.8773559,0.1306378,0.16098721,0.021031015,4800
272,decoded,direct_vocab,9,0.37617365,0.40295967,0.04467556,0.023188816,0.033932187,0.98367804,-0.9933281,0.14150661,0.1623765,0.022977347,4800
273,decoded,direct_vocab,10,0.36274025,0.39129284,0.054402523,0.0066014016,0.030501962,0.9838995,-0.5690276,0.13158049,0.15311009,0.0201463,4800
