,coord_mode,input_projection_mode,k,alpha,beta,C_in,C_out,coh_mean_k,align_k,cos_global,alpha2,beta2,alpha2beta2,epoch
56,raw,direct_vocab,2,0.12903605,0.13172127,0.105326705,0.030572075,0.06794939,0.0053336853,-0.05759833,0.016650302,0.017350493,0.00028889097,1000
57,raw,direct_vocab,3,0.12871404,0.13482252,0.07739148,0.023483627,0.050437555,-0.036660444,-0.9759017,0.016567305,0.01817711,0.00030114574,1000
58,raw,direct_vocab,4,0.13016133,0.12971471,0.08661138,0.12640831,0.10650985,0.00398862,0.9016833,0.016941972,0.016825907,0.00028506404,1000
59,raw,direct_vocab,5,0.12971818,0.13482402,0.039867453,0.039452758,0.039660104,0.019749843,0.9490961,0.016826807,0.018177517,0.00030586956,1000
60,raw,direct_vocab,6,0.12915295,0.1326178,0.052492097,0.08732799,0.06991004,0.0075806025,0.9998697,0.016680485,0.017587481,0.00029336772,1000
61,raw,direct_vocab,7,0.12993884,0.13065317,0.028696604,0.06744942,0.048073012,-0.05517754,-0.574888,0.016884102,0.017070252,0.00028821587,1000
62,raw,direct_vocab,8,0.13008888,0.13599896,0.07147339,0.029963255,0.050718322,0.05302279,-0.9893741,0.016923117,0.018495718,0.00031300518,1000
63,raw,direct_vocab,9,0.13109954,0.13031317,0.07593571,0.11848649,0.09721109,0.00056007464,0.058891967,0.017187089,0.016981523,0.00029186296,1000
64,raw,direct_vocab,10,0.12936457,0.13371661,0.045386456,0.048523933,0.046955194,-0.01923948,-0.29512638,0.01673519,0.017880132,0.00029922742,1000
65,raw,direct_vocab,11,0.12901787,0.13386291,0.020695474,0.05338945,0.03704246,-0.076644875,-0.87270874,0.016645612,0.01791928,0.0002982774,1000
66,raw,direct_vocab,1,0.15008421,0.15315293,0.09613507,0.07370889,0.084921986,0.06338529,-0.80505264,0.022525271,0.02345582,0.00052834867,1200
67,raw,direct_vocab,2,0.14829277,0.15154801,0.10210079,0.024091614,0.0630962,0.008067956,-0.10374707,0.021990744,0.0229668,0.00050505705,1200
68,raw,direct_vocab,3,0.14823698,0.15473188,0.072665915,0.01813984,0.045402877,-0.036362704,-0.98630893,0.0219742,0.023941956,0.00052610534,1200
69,raw,direct_vocab,4,0.14974754,0.14938483,0.08208179,0.100265086,0.09117344,0.0075912713,0.8880334,0.022424323,0.022315826,0.0005004173,1200
70,raw,direct_vocab,5,0.14941266,0.15503734,0.035847608,0.030820243,0.033333927,0.026211541,0.98449737,0.022324143,0.024036577,0.000536596,1200
71,raw,direct_vocab,6,0.1486222,0.15317859,0.053571,0.07043952,0.06200526,0.006477489,0.9792708,0.022088557,0.02346368,0.00051827886,1200
72,raw,direct_vocab,7,0.14928585,0.15065464,0.024735106,0.04782041,0.03627776,-0.0437822,-0.71632785,0.022286266,0.022696821,0.00050582737,1200
73,raw,direct_vocab,8,0.15011294,0.15611236,0.067044474,0.023382638,0.045213558,0.05298659,-0.99139625,0.022533895,0.024371069,0.00054917514,1200
74,raw,direct_vocab,9,0.15085948,0.150545,0.07047512,0.095387384,0.08293125,-0.004718079,-0.003772651,0.02275858,0.022663798,0.0005157959,1200
75,raw,direct_vocab,10,0.1490594,0.15391684,0.04611715,0.037800565,0.041958857,-0.02120628,-0.24070427,0.022218704,0.023690393,0.00052636984,1200
